window_index,window_seconds,window_label,window_start,window_end,strategy,fill_model,entry_fills,completed_cycles,total_pnl,net_realized_pnl,unrealized_pnl_end,maximum_drawdown,maximum_absolute_inventory_base
0,1800.0,30m,2026-08-24T04:00:11.875Z,2026-08-24T04:30:11.875Z,iv_adaptive_grid,conservative_cross_through,3,1,-0.9266399999999999,0.4632,-1.38984,1.53664,0.0244
0,1800.0,30m,2026-08-24T04:00:11.875Z,2026-08-24T04:30:11.875Z,rv_only_adaptive_grid,conservative_cross_through,4,1,-0.8129,0.4632,-1.2761,1.53664,0.0244
0,1800.0,30m,2026-08-24T04:00:11.875Z,2026-08-24T04:30:11.875Z,static_geometric_grid,conservative_cross_through,1,1,0.4632,0.4632,0.0,0.2316,0.012
1,1800.0,30m,2026-08-24T04:30:11.875Z,2026-08-24T05:00:11.875Z,iv_adaptive_grid,conservative_cross_through,8,3,-8.78509,1.89627,-10.68136,10.41525,0.036
1,1800.0,30m,2026-08-24T04:30:11.875Z,2026-08-24T05:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,7,2,-9.44989,1.28595,-10.73584,10.82325,0.036
1,1800.0,30m,2026-08-24T04:30:11.875Z,2026-08-24T05:00:11.875Z,static_geometric_grid,conservative_cross_through,3,1,-6.22868,0.64372,-6.8724,11.39588,0.0361
2,1800.0,30m,2026-08-24T05:00:11.875Z,2026-08-24T05:30:11.875Z,iv_adaptive_grid,conservative_cross_through,6,2,-5.8735800000000005,1.28424,-7.15782,9.3226,0.029
2,1800.0,30m,2026-08-24T05:00:11.875Z,2026-08-24T05:30:11.875Z,rv_only_adaptive_grid,conservative_cross_through,5,1,-6.85675,0.462,-7.31875,9.3226,0.029
2,1800.0,30m,2026-08-24T05:00:11.875Z,2026-08-24T05:30:11.875Z,static_geometric_grid,conservative_cross_through,5,3,-2.3076,1.3860000000000001,-3.6936,4.2816,0.024
3,1800.0,30m,2026-08-24T05:30:11.875Z,2026-08-24T06:00:11.875Z,iv_adaptive_grid,conservative_cross_through,4,4,1.85666,1.85666,0.0,1.6488,0.0121
3,1800.0,30m,2026-08-24T05:30:11.875Z,2026-08-24T06:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,4,3,-0.8065,1.39732,-2.20382,1.6488,0.012
3,1800.0,30m,2026-08-24T05:30:11.875Z,2026-08-24T06:00:11.875Z,static_geometric_grid,conservative_cross_through,5,5,2.316,2.316,0.0,1.6488,0.012
4,1800.0,30m,2026-08-24T06:00:11.875Z,2026-08-24T06:30:11.875Z,iv_adaptive_grid,conservative_cross_through,3,1,-1.1844,0.4632,-1.6476,2.538,0.012
4,1800.0,30m,2026-08-24T06:00:11.875Z,2026-08-24T06:30:11.875Z,rv_only_adaptive_grid,conservative_cross_through,4,2,0.4914,0.9264,-0.435,1.405,0.012
4,1800.0,30m,2026-08-24T06:00:11.875Z,2026-08-24T06:30:11.875Z,static_geometric_grid,conservative_cross_through,5,3,-0.6107999999999998,1.3908,-2.0016,2.4084,0.012
5,1800.0,30m,2026-08-24T06:30:11.875Z,2026-08-24T07:00:11.875Z,iv_adaptive_grid,conservative_cross_through,7,4,1.0861299999999998,1.74901,-0.66288,1.06608,0.0288
5,1800.0,30m,2026-08-24T06:30:11.875Z,2026-08-24T07:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,7,4,1.14373,1.74901,-0.60528,1.00848,0.0288
5,1800.0,30m,2026-08-24T06:30:11.875Z,2026-08-24T07:00:11.875Z,static_geometric_grid,conservative_cross_through,2,1,0.5628,0.4632,0.0996,1.2672,0.012
6,1800.0,30m,2026-08-24T07:00:11.875Z,2026-08-24T07:30:11.875Z,iv_adaptive_grid,conservative_cross_through,1,0,-1.14954,0.0,-1.14954,1.66719,0.0119
6,1800.0,30m,2026-08-24T07:00:11.875Z,2026-08-24T07:30:11.875Z,rv_only_adaptive_grid,conservative_cross_through,1,0,-1.14954,0.0,-1.14954,1.66719,0.0119
6,1800.0,30m,2026-08-24T07:00:11.875Z,2026-08-24T07:30:11.875Z,static_geometric_grid,conservative_cross_through,3,1,-1.63356,0.4656,-2.09916,2.87266,0.012
7,1800.0,30m,2026-08-24T07:30:11.875Z,2026-08-24T08:00:11.875Z,iv_adaptive_grid,conservative_cross_through,3,2,-0.7385299999999999,1.4832,-2.22173,1.64834,0.0169
7,1800.0,30m,2026-08-24T07:30:11.875Z,2026-08-24T08:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,1,0,-2.22173,0.0,-2.22173,2.6775,0.0119
7,1800.0,30m,2026-08-24T07:30:11.875Z,2026-08-24T08:00:11.875Z,static_geometric_grid,conservative_cross_through,1,0,-2.22173,0.0,-2.22173,2.6775,0.0119
8,1800.0,30m,2026-08-24T08:00:11.875Z,2026-08-24T08:30:11.875Z,iv_adaptive_grid,conservative_cross_through,5,3,-8.083219999999999,1.8799199999999998,-9.96314,10.04004,0.0288
8,1800.0,30m,2026-08-24T08:00:11.875Z,2026-08-24T08:30:11.875Z,rv_only_adaptive_grid,conservative_cross_through,5,3,-8.05724,1.8986399999999999,-9.95588,10.03278,0.0288
8,1800.0,30m,2026-08-24T08:00:11.875Z,2026-08-24T08:30:11.875Z,static_geometric_grid,conservative_cross_through,3,1,-6.0912,0.4644,-6.5556,8.5644,0.024
9,1800.0,30m,2026-08-24T08:30:11.875Z,2026-08-24T09:00:11.875Z,iv_adaptive_grid,conservative_cross_through,3,2,0.51,0.9252,-0.4152,0.978,0.012
9,1800.0,30m,2026-08-24T08:30:11.875Z,2026-08-24T09:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,2,1,-0.07439999999999997,0.462,-0.5364,0.978,0.012
9,1800.0,30m,2026-08-24T08:30:11.875Z,2026-08-24T09:00:11.875Z,static_geometric_grid,conservative_cross_through,3,2,0.7812,0.924,-0.1428,0.462,0.012
10,1800.0,30m,2026-08-24T09:00:11.875Z,2026-08-24T09:30:11.875Z,iv_adaptive_grid,conservative_cross_through,2,1,-0.4926,0.4644,-0.957,1.512,0.012
10,1800.0,30m,2026-08-24T09:00:11.875Z,2026-08-24T09:30:11.875Z,rv_only_adaptive_grid,conservative_cross_through,2,2,0.768,0.768,0.0,1.512,0.024
10,1800.0,30m,2026-08-24T09:00:11.875Z,2026-08-24T09:30:11.875Z,static_geometric_grid,conservative_cross_through,1,1,0.4644,0.4644,0.0,1.512,0.012
11,1800.0,30m,2026-08-24T09:30:11.875Z,2026-08-24T09:34:57.372Z,iv_adaptive_grid,conservative_cross_through,0,0,0.0,0.0,0.0,0.0,0.0
11,1800.0,30m,2026-08-24T09:30:11.875Z,2026-08-24T09:34:57.372Z,rv_only_adaptive_grid,conservative_cross_through,0,0,0.0,0.0,0.0,0.0,0.0
11,1800.0,30m,2026-08-24T09:30:11.875Z,2026-08-24T09:34:57.372Z,static_geometric_grid,conservative_cross_through,1,0,-0.132,0.0,-0.132,0.432,0.012
0,3600.0,60m,2026-08-24T04:00:11.875Z,2026-08-24T05:00:11.875Z,iv_adaptive_grid,conservative_cross_through,10,5,-7.93447,2.5652,-10.49967,10.08275,0.0361
0,3600.0,60m,2026-08-24T04:00:11.875Z,2026-08-24T05:00:11.875Z,rv_only_adaptive_grid,conservative_cross_through,9,4,-9.043560000000001,1.95488,-10.99844,10.487,0.0361
