trading_pair,window_seconds,correlation,beta,observations
BTC-USDC,900.0,1.0,1.0,0
BTC-USDC,1800.0,1.0,1.0,0
BTC-USDC,3600.0,1.0,1.0,0
ETH-USDC,900.0,0.8424127368165728,0.7458990155658781,139
ETH-USDC,1800.0,0.8424127368165728,0.7458990155658781,139
ETH-USDC,3600.0,0.8424127368165728,0.7458990155658781,139
SOL-USDC,900.0,0.7063662621072867,1.2675650379734107,139
SOL-USDC,1800.0,0.7063662621072867,1.2675650379734107,139
SOL-USDC,3600.0,0.7063662621072867,1.2675650379734107,139
HYPE-USDC,900.0,-0.07696582553859276,-0.18031155022714854,139
HYPE-USDC,1800.0,-0.07696582553859276,-0.18031155022714854,139
HYPE-USDC,3600.0,-0.07696582553859276,-0.18031155022714854,139
